typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2014",,"2014","0","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","32.831","true","-1","N/A","0","false","50","false","0","false","2014",,"2014","2","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","32.831","true","8","kg","50","false","50","false","0","false","2014",,"2014","2","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","69","Ceramic products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","26379",,"26379","0","false","true",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","6907","Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","2","m²","800.814","true","-1","N/A","0","false","26773","false","0","false","7853",,"7853","2","false","true",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","690722","Ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight over 0.5% but not over 10%","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","2","m²","800.814","true","8","kg","26773","false","26773","false","0","false","7853",,"7853","2","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","6910","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","83.731","true","-1","N/A","0","false","576","false","0","false","4385",,"4385","2","false","true",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","691010","Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","83.731","true","8","kg","576","false","576","false","0","false","4385",,"4385","2","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","6911","Tableware, kitchenware, other household articles and toilet articles; of porcelain or china","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","8","kg","200","false","200","false","0","false","10233",,"10233","0","false","true",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","691110","Tableware and kitchenware; of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","8","kg","200","false","200","false","0","false","10233",,"10233","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","6913","Statuettes and other ornamental ceramic articles","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","8","kg","14","false","14","false","0","false","3908",,"3908","0","false","true",
"C","A","20230101","2023","52","2023","156","CHN","China","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","691390","Ceramic statuettes and other ornamental ceramic articles; other than of porcelain or china","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","8","kg","14","false","14","false","0","false","3908",,"3908","0","true","false",
